kgID,mRNA,geneSymbol
uc007afh.1,NM_008866,Lypla1
uc007afg.1,AK050549,Lypla1
uc007afi.2,NM_011541,Tcea1
uc011wht.1,NM_001159750,Tcea1
uc011whu.1,NM_001159751,Tcea1
uc057aty.1,AK048564,AK048564
uc007afn.2,NM_133826,Atp6v1h
uc057atz.1,NM_001310442,Atp6v1h
uc007afm.2,AK081492,Atp6v1h
uc007afo.2,NM_011011,Oprk1
uc057aua.1,NM_001318735,Oprk1
uc007afq.2,AK138198,Oprk1
uc007afr.2,NM_009826,Rb1cc1
uc011whx.1,AB093216,Rb1cc1
uc007afs.1,AK165119,Rb1cc1
uc007aft.2,AJ242720,Rb1cc1
uc007afu.2,AK013696,Rb1cc1
uc007afv.2,NM_001195732,Alkal1
uc007afy.1,NR_045188,St18
uc007afw.1,NM_001244692,St18
uc007afz.1,NR_045189,St18
uc007afx.1,NM_001244693,St18
uc007aga.1,NM_173868,St18
uc029qmq.1,AB335791,AB335791
uc007agb.1,NM_183028,Pcmtd1
uc007agc.1,AK079468,Pcmtd1
uc007agd.1,AK161921,Pcmtd1
uc011why.1,AK134223,Pcmtd1
uc007agk.2,NM_021511,Rrs1
uc007agl.2,NM_175236,Adhfe1
uc007agm.2,NR_027664,Adhfe1
uc007agp.1,NM_178399,3110035E14Rik
uc029qmu.1,NR_040462,1700034P13Rik
uc029qmv.1,AK159293,1700034P13Rik
uc007agu.2,NM_133220,Sgk3
uc007agv.2,NM_177547,Sgk3
uc007agx.2,NM_001037759,Sgk3
uc011wid.2,AK143836,Sgk3
uc007agw.2,AK151996,Sgk3
uc007agy.2,AK171959,Sgk3
uc056yce.1,AK080469,AK080469
uc011wie.1,NM_177722,Mcmdc2
uc007agz.1,AK031395,Mcmdc2
uc007ahi.1,NM_026493,Cspp1
uc011wih.1,FJ008676,Cspp1
uc011wig.1,FJ008677,Cspp1
uc007ahh.1,BC019581,Cspp1
uc007ahj.1,AK032310,Cspp1
uc007ahk.1,AK015133,Cspp1
uc007ahl.1,AK013065,Cspp1
uc007ahg.1,AK038954,Cspp1
uc007ahs.2,NM_029525,Prex2
uc007ahv.2,NM_001033636,Prex2
uc007aht.1,AK018093,Prex2
uc007ahu.1,AK042743,Prex2
uc007ahx.2,NM_177173,A830018L16Rik
uc011wij.1,NM_001160369,A830018L16Rik
uc057aub.1,NM_001310451,A830018L16Rik
uc007ahy.2,NM_001160371,A830018L16Rik
uc007ahw.2,NM_001160370,A830018L16Rik
uc011wik.1,BC145023,A830018L16Rik
uc011wii.1,AK081622,A830018L16Rik
uc007ahz.1,AK081622,A830018L16Rik
uc033fic.1,NR_105759,Mir6341
uc029qmx.1,NR_045297,Gm17644
uc007aia.2,NM_001198565,Sulf1
uc007aid.1,NM_172294,Sulf1
uc007aib.2,NM_001198566,Sulf1
uc007aic.1,AK037389,Sulf1
uc007aie.1,AK076327,Sulf1
uc007aiv.1,NM_001011873,Xkr9
uc007ajb.1,AK080352,AK080352
uc007aje.1,NM_001098528,Kcnb2
uc007ajh.2,NM_009352,Terf1
uc007aji.2,NM_001286628,Terf1
uc007ajf.2,AK021235,Terf1
uc007ajg.2,AK036615,Terf1
uc007ajm.1,NM_133832,Rdh10
uc029qna.1,NR_037998,D030040B21Rik
uc007ajx.1,NM_026392,Tmem70
uc007ajy.1,NM_027415,Tmem70
uc007ajz.2,NM_016923,Ly96
uc011wim.1,NM_001159711,Ly96
uc007akc.3,NM_010267,Gdap1
uc007akb.2,AK049655,Gdap1
uc007akd.1,AK135932,AK135932
uc007ake.2,NM_053191,Pi15
uc007akh.1,NM_031402,Crispld1
uc007akg.1,AK132405,Crispld1
uc007akp.2,NM_153154,Tfap2d
uc007akq.2,NM_001286340,Tfap2b
